size_bytes	size_human	path	suggested_hf_path
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/qasc.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/qasc.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/piqa.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/piqa.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/openbookqa.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/openbookqa.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/gsm8k.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/gsm8k.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/commonsenseqa.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/commonsenseqa.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/boolq.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/boolq.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/aqua.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/aqua.npy
268487421	257MB	rebuttal/orthogonal_steer/results/A1_cross_method/cache/sae_l28_M8192_steps3000.pt	artifacts/rebuttal/orthogonal_steer/results/A1_cross_method/cache/sae_l28_M8192_steps3000.pt
163841633	157MB	rebuttal/orthogonal_steer/results/A1_cross_method/cache/acts_l28_n20000.pt	artifacts/rebuttal/orthogonal_steer/results/A1_cross_method/cache/acts_l28_n20000.pt
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_qasc__arc_challenge__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_qasc__arc_challenge__l56.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_openbookqa__qasc__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_openbookqa__qasc__l56.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_openbookqa__arc_challenge__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_openbookqa__arc_challenge__l56.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_commonsenseqa__qasc__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_commonsenseqa__qasc__l56.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l56.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_arc_challenge__qasc__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_arc_challenge__qasc__l56.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_qasc__arc_challenge__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_qasc__arc_challenge__l48.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_openbookqa__qasc__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_openbookqa__qasc__l48.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_openbookqa__arc_challenge__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_openbookqa__arc_challenge__l48.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_commonsenseqa__qasc__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_commonsenseqa__qasc__l48.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l48.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_arc_challenge__qasc__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_arc_challenge__qasc__l48.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_qasc__arc_challenge__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_qasc__arc_challenge__l40.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_openbookqa__qasc__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_openbookqa__qasc__l40.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_openbookqa__arc_challenge__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_openbookqa__arc_challenge__l40.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_commonsenseqa__qasc__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_commonsenseqa__qasc__l40.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l40.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_arc_challenge__qasc__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_arc_challenge__qasc__l40.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_qasc__arc_challenge__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_qasc__arc_challenge__l32.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_openbookqa__qasc__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_openbookqa__qasc__l32.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_openbookqa__arc_challenge__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_openbookqa__arc_challenge__l32.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_commonsenseqa__qasc__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_commonsenseqa__qasc__l32.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l32.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_arc_challenge__qasc__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_arc_challenge__qasc__l32.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_qasc__arc_challenge__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_qasc__arc_challenge__l25.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_openbookqa__qasc__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_openbookqa__qasc__l25.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_openbookqa__arc_challenge__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_openbookqa__arc_challenge__l25.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_commonsenseqa__qasc__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_commonsenseqa__qasc__l25.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_commonsenseqa__arc_challenge__l25.npz
100663566	97MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_arc_challenge__qasc__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_arc_challenge__qasc__l25.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_qasc__commonsenseqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_qasc__commonsenseqa__l56.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_openbookqa__commonsenseqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_openbookqa__commonsenseqa__l56.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l56.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_qasc__commonsenseqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_qasc__commonsenseqa__l48.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_openbookqa__commonsenseqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_openbookqa__commonsenseqa__l48.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l48.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_qasc__commonsenseqa__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_qasc__commonsenseqa__l40.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_openbookqa__commonsenseqa__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_openbookqa__commonsenseqa__l40.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l40.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_qasc__commonsenseqa__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_qasc__commonsenseqa__l32.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_openbookqa__commonsenseqa__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_openbookqa__commonsenseqa__l32.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l32.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_qasc__commonsenseqa__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_qasc__commonsenseqa__l25.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_openbookqa__commonsenseqa__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_openbookqa__commonsenseqa__l25.npz
100401422	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_arc_challenge__commonsenseqa__l25.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_qasc__openbookqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_qasc__openbookqa__l56.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_commonsenseqa__openbookqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_commonsenseqa__openbookqa__l56.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_arc_challenge__openbookqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/acts/acts_loto_holdout_arc_challenge__openbookqa__l56.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_qasc__openbookqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_qasc__openbookqa__l48.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_commonsenseqa__openbookqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_commonsenseqa__openbookqa__l48.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_arc_challenge__openbookqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/acts/acts_loto_holdout_arc_challenge__openbookqa__l48.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_qasc__openbookqa__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_qasc__openbookqa__l40.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_commonsenseqa__openbookqa__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_commonsenseqa__openbookqa__l40.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_arc_challenge__openbookqa__l40.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l40/acts/acts_loto_holdout_arc_challenge__openbookqa__l40.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_qasc__openbookqa__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_qasc__openbookqa__l32.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_commonsenseqa__openbookqa__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_commonsenseqa__openbookqa__l32.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_arc_challenge__openbookqa__l32.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l32/acts/acts_loto_holdout_arc_challenge__openbookqa__l32.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_qasc__openbookqa__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_qasc__openbookqa__l25.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_commonsenseqa__openbookqa__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_commonsenseqa__openbookqa__l25.npz
100204814	96MB	rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_arc_challenge__openbookqa__l25.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l25/acts/acts_loto_holdout_arc_challenge__openbookqa__l25.npz
40894734	40MB	rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache_l28/acts/acts_loto_holdout_qasc__openbookqa__l56.npz	artifacts/rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache_l28/acts/acts_loto_holdout_qasc__openbookqa__l56.npz
40894734	40MB	rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache_l28/acts/acts_loto_holdout_qasc__logiqa__l56.npz	artifacts/rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache_l28/acts/acts_loto_holdout_qasc__logiqa__l56.npz
40894734	40MB	rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache_l28/acts/acts_loto_holdout_qasc__arc_challenge__l56.npz	artifacts/rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache_l28/acts/acts_loto_holdout_qasc__arc_challenge__l56.npz
40894734	40MB	rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache/acts/acts_loto_holdout_qasc__openbookqa.npz	artifacts/rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache/acts/acts_loto_holdout_qasc__openbookqa.npz
40894734	40MB	rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache/acts/acts_loto_holdout_qasc__logiqa.npz	artifacts/rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache/acts/acts_loto_holdout_qasc__logiqa.npz
40894734	40MB	rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache/acts/acts_loto_holdout_qasc__arc_challenge.npz	artifacts/rebuttal/after_review/exp_4_scale_extension/llama30b_h2_cache/acts/acts_loto_holdout_qasc__arc_challenge.npz
25830522	25MB	rebuttal/downstream_compress/Basis_Sharing/lora/share_llama-7b_20/wikitext/checkpoint-2760/optimizer.pt	artifacts/rebuttal/downstream_compress/Basis_Sharing/lora/share_llama-7b_20/wikitext/checkpoint-2760/optimizer.pt
12907658	13MB	rebuttal/downstream_compress/Basis_Sharing/lora/share_llama-7b_20/wikitext/checkpoint-2760/adapter_model.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/lora/share_llama-7b_20/wikitext/checkpoint-2760/adapter_model.bin
12907658	13MB	rebuttal/downstream_compress/Basis_Sharing/lora/share_llama-7b_20/wikitext/adapter_model.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/lora/share_llama-7b_20/wikitext/adapter_model.bin
10489404	11MB	rebuttal/after_review/exp_9_sampled_policy_h2_spotcheck/results/exp_A3_bases_layer28_l28_sample_t1p3_p0p9_k0_n32_eval128.npz	artifacts/rebuttal/after_review/exp_9_sampled_policy_h2_spotcheck/results/exp_A3_bases_layer28_l28_sample_t1p3_p0p9_k0_n32_eval128.npz
9765378	9.4MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/bases/basis_loto_holdout_commonsenseqa__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/bases/basis_loto_holdout_commonsenseqa__l48.npz
9765378	9.4MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/bases/basis_loto_holdout_arc_challenge__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/bases/basis_loto_holdout_arc_challenge__l48.npz
9634306	9.2MB	rebuttal/after_review/exp_8_scale_llama/cache_l56/bases/basis_loto_holdout_commonsenseqa__l56.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l56/bases/basis_loto_holdout_commonsenseqa__l56.npz
9437698	9.1MB	rebuttal/after_review/exp_8_scale_llama/cache_l48/bases/basis_loto_holdout_qasc__l48.npz	artifacts/rebuttal/after_review/exp_8_scale_llama/cache_l48/bases/basis_loto_holdout_qasc__l48.npz
